Pedestrians,weather_summary,temperature,precipitation,events,hour_begin,has_event
36,partly-cloudy-night,38.0,0.0,Daylight Saving Time starts,2019-03-10T01:00:00.000-05:00,1
1916,clear-day,77.0,0.0,"",2019-09-17T15:00:00.000-04:00,0
703,cloudy,55.0,0.0042,"",2019-04-26T18:00:00.000-04:00,0
180,clear-night,26.0,0.0,"",2019-12-12T07:00:00.000-05:00,0
1000,partly-cloudy-day,38.0,0.0,"",2019-11-17T10:00:00.000-05:00,0
284,clear-day,36.0,0.0,"",2019-03-28T08:00:00.000-04:00,0
0,partly-cloudy-night,68.0,0.0,"",2019-08-08T04:00:00.000-04:00,0
1299,partly-cloudy-day,88.0,0.0,"",2019-06-27T14:00:00.000-04:00,0
2,clear-night,68.0,0.0,"",2019-08-11T01:00:00.000-04:00,0
30,clear-night,48.0,0.0,"",2019-12-27T22:00:00.000-05:00,0
260,cloudy,36.0,0.0,"",2019-12-04T08:00:00.000-05:00,0
2352,partly-cloudy-day,56.0,0.0,"",2019-10-18T16:00:00.000-04:00,0
2387,partly-cloudy-day,80.0,0.0,"",2019-06-02T13:00:00.000-04:00,0
0,partly-cloudy-night,45.0,0.0,"",2019-11-07T04:00:00.000-05:00,0
139,cloudy,67.0,0.0,"",2019-06-19T06:00:00.000-04:00,0
1833,partly-cloudy-day,69.0,0.0,"",2019-03-15T15:00:00.000-04:00,0
1954,clear-day,75.0,0.0,"",2019-05-22T15:00:00.000-04:00,0
0,cloudy,54.0,0.0,"",2019-03-25T03:00:00.000-04:00,0
137,partly-cloudy-day,40.0,0.0,"",2019-04-05T07:00:00.000-04:00,0
2056,cloudy,67.0,0.0,"",2019-09-30T16:00:00.000-04:00,0
1323,cloudy,64.0,0.0,"",2019-06-13T18:00:00.000-04:00,0
2337,clear-day,84.0,0.0,"",2019-06-23T17:00:00.000-04:00,0
8,partly-cloudy-night,14.0,0.0,"",2019-01-20T23:00:00.000-05:00,0
0,cloudy,67.0,0.0,"",2019-07-24T03:00:00.000-04:00,0
150,clear-day,64.0,0.0,"",2019-06-08T06:00:00.000-04:00,0
0,partly-cloudy-night,21.0,0.0,"",2019-03-06T23:00:00.000-05:00,0
2239,partly-cloudy-day,76.0,0.0,"",2019-10-07T16:00:00.000-04:00,0
1,partly-cloudy-night,47.0,0.0,"",2019-02-16T01:00:00.000-05:00,0
522,clear-day,30.0,0.0,"",2019-01-15T11:00:00.000-05:00,0
1044,partly-cloudy-day,75.0,0.0042,"",2019-06-02T18:00:00.000-04:00,0
3,partly-cloudy-night,80.0,0.0,"",2019-07-17T01:00:00.000-04:00,0
1877,cloudy,73.0,0.0,"",2019-06-17T14:00:00.000-04:00,0
2,partly-cloudy-night,42.0,0.0,"",2019-03-14T01:00:00.000-04:00,0
11,partly-cloudy-night,67.0,0.0,"",2019-09-05T22:00:00.000-04:00,0
0,clear-night,46.0,0.0,"",2019-10-05T03:00:00.000-04:00,0
1,clear-night,69.0,0.0,"",2019-05-24T02:00:00.000-04:00,0
7,cloudy,44.0,0.0023,"",2019-05-12T23:00:00.000-04:00,0
1,clear-night,46.0,0.0,"",2019-11-27T01:00:00.000-05:00,0
2,partly-cloudy-night,37.0,0.0,"",2019-12-05T01:00:00.000-05:00,0
30,partly-cloudy-night,33.0,0.0,"",2019-12-21T17:00:00.000-05:00,0
1600,cloudy,46.0,0.0,"",2019-04-11T12:00:00.000-04:00,0
261,partly-cloudy-night,57.0,0.0,"",2019-04-30T20:00:00.000-04:00,0
1958,rain,47.0,0.0346,"",2019-02-21T13:00:00.000-05:00,0
2358,clear-day,39.0,0.0,"",2019-11-16T16:00:00.000-05:00,0
69,partly-cloudy-night,37.0,0.0,"",2019-02-05T06:00:00.000-05:00,0
3116,partly-cloudy-day,81.0,0.0,"",2019-08-10T16:00:00.000-04:00,0
608,clear-night,65.0,0.0,"",2019-09-19T19:00:00.000-04:00,0
263,clear-day,68.0,0.0,"",2019-06-24T07:00:00.000-04:00,0
78,cloudy,42.0,0.0067,"",2019-02-07T21:00:00.000-05:00,0
